Depth First Search
Goal Found
Final Number of States Visited: 559
Final Path
Length: 558
[0, 0, 0, 100, 90, 1]
[2, 0, 1, 98, 90, 0]
[1, 0, 0, 99, 90, 1]
[3, 0, 1, 97, 90, 0]
[2, 0, 0, 98, 90, 1]
[4, 0, 1, 96, 90, 0]
[3, 0, 0, 97, 90, 1]
[5, 0, 1, 95, 90, 0]
[4, 0, 0, 96, 90, 1]
[6, 0, 1, 94, 90, 0]
[5, 0, 0, 95, 90, 1]
[7, 0, 1, 93, 90, 0]
[6, 0, 0, 94, 90, 1]
[8, 0, 1, 92, 90, 0]
[7, 0, 0, 93, 90, 1]
[9, 0, 1, 91, 90, 0]
[8, 0, 0, 92, 90, 1]
[10, 0, 1, 90, 90, 0]
[9, 0, 0, 91, 90, 1]
[9, 1, 1, 91, 89, 0]
[8, 1, 0, 92, 89, 1]
[10, 1, 1, 90, 89, 0]
[9, 1, 0, 91, 89, 1]
[11, 1, 1, 89, 89, 0]
[10, 1, 0, 90, 89, 1]
[10, 2, 1, 90, 88, 0]
[9, 2, 0, 91, 88, 1]
[11, 2, 1, 89, 88, 0]
[10, 2, 0, 90, 88, 1]
[12, 2, 1, 88, 88, 0]
[11, 2, 0, 89, 88, 1]
[11, 3, 1, 89, 87, 0]
[10, 3, 0, 90, 87, 1]
[12, 3, 1, 88, 87, 0]
[11, 3, 0, 89, 87, 1]
[13, 3, 1, 87, 87, 0]
[12, 3, 0, 88, 87, 1]
[12, 4, 1, 88, 86, 0]
[11, 4, 0, 89, 86, 1]
[13, 4, 1, 87, 86, 0]
[12, 4, 0, 88, 86, 1]
[14, 4, 1, 86, 86, 0]
[13, 4, 0, 87, 86, 1]
[13, 5, 1, 87, 85, 0]
[12, 5, 0, 88, 85, 1]
[14, 5, 1, 86, 85, 0]
[13, 5, 0, 87, 85, 1]
[15, 5, 1, 85, 85, 0]
[14, 5, 0, 86, 85, 1]
[14, 6, 1, 86, 84, 0]
[13, 6, 0, 87, 84, 1]
[15, 6, 1, 85, 84, 0]
[14, 6, 0, 86, 84, 1]
[16, 6, 1, 84, 84, 0]
[15, 6, 0, 85, 84, 1]
[15, 7, 1, 85, 83, 0]
[14, 7, 0, 86, 83, 1]
[16, 7, 1, 84, 83, 0]
[15, 7, 0, 85, 83, 1]
[17, 7, 1, 83, 83, 0]
[16, 7, 0, 84, 83, 1]
[16, 8, 1, 84, 82, 0]
[15, 8, 0, 85, 82, 1]
[17, 8, 1, 83, 82, 0]
[16, 8, 0, 84, 82, 1]
[18, 8, 1, 82, 82, 0]
[17, 8, 0, 83, 82, 1]
[17, 9, 1, 83, 81, 0]
[16, 9, 0, 84, 81, 1]
[18, 9, 1, 82, 81, 0]
[17, 9, 0, 83, 81, 1]
[19, 9, 1, 81, 81, 0]
[18, 9, 0, 82, 81, 1]
[18, 10, 1, 82, 80, 0]
[17, 10, 0, 83, 80, 1]
[19, 10, 1, 81, 80, 0]
[18, 10, 0, 82, 80, 1]
[20, 10, 1, 80, 80, 0]
[19, 10, 0, 81, 80, 1]
[19, 11, 1, 81, 79, 0]
[18, 11, 0, 82, 79, 1]
